Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Ушаков|Константин|Петрович|Комкавбриг 2 — 3 Туркестанской кавдивизии|Прик.РВСР № 2430|1923 г.|Третье награждение
Ушаков|Константин|Петрович|Комкавбриг 2 — 3 Туркестанской кавдивизии|Прик.РВСР № 46|1924 г.|Третье награждение
Ушаков|Макар|Никандрович|Ездовой при орудии|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Ушаков|Матвей|Сергеевич|Военмор высшей парт-школы Кронштадтского политотдела|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Ушаков|Михаил|Алексеевич|Комполка 385|Прик.РВСР № 334|1920 г.|Орден Красного Знамени
Ушаков|Никита||Оруд. номер 2 легкого артдивизиона 2 Приамурской стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Ушаков|Павел||Помвоенкома 23 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Ушаков|Петр||Красноармеец 32 стр. полка|Прик.РВСР № 349|1919 г.|Орден Красного Знамени
Ушаков|Степан||Комвзвод б. 15 армии|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Ушаков|Федор||Пулеметчик 228 Карельского стр. полка|Прик.РВСР № 101|1920 г.|Орден Красного Знамени
Ушанский|Федор|Федорович|Политрук|Прик.РВСР № 135|1924 г.|Орден Красного Знамени
Ушаров|Николай|Александрович|Начальник развед. отдела штаба войск Бухарской группы|Прик.РВСР № 103|1923 г.|Орден Красного Знамени
Ушаченков|Василий|Иванович|Политрук 235 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Ушерович|Моисей||Слушатель Военно-морского училища|Прик.РВСР № 121|1924 г.|Орден Красного Знамени
Ушмакин|А.||Командир взвода 218 полка|Прик.РВСР № 380|1925 г.|Орден Красного Знамени
Ушпарский|Анисим|Савельевич|Красноармеец 93 стр. полка|Прик.РВСР № 66|1922 г.|Орден Красного Знамени
Уэулин|Адам|Фролович|Отделком 267 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Фабриков|Аркадий|Михайлович|Командир 1 батареи 40 легкого артиллерийского дивизиона 14 стр. дивизии|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Фабрициус|Ян|Францевич|Комиссар 10 стр. дивизии|Прик.РВСР № 12|1919 г.|Орден Красного Знамени
Фабрициус|Ян|Францевич|Комбриг 48 — 16 стр. дивизии|Прик.РВСР № 496|1920 г.|Вторичное награждение
Фабрициус|Ян|Францевич|Комполка 501 стрелкового|Прик.РВСР № 93|1921 г.|Третье награждение
Фабрициус|Ян|Францевич|Комбриг 48|Прик.РВСР № 353|1921 г.|Четвертое награждение
Фаворский|Сергей|Владимирович|Комбат 7 пограничного стрелк. полка|Прик.РВСР № 355|1919 г.|Орден Красного Знамени
Фаддеев|Сергей||Красноармеец 200 стр. полка|Прик.РВСР № 225|1920 г.|Орден Красного Знамени
Фадеев|Александр||Комвзвода учебного полка 11 дивизии|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Фадеев|Захар||Комвзвода 208 стр. полка|Прик.РВСР № 68|1920 г.|Орден Красного Знамени
Фадеев|И.|В.|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фадеев|И.|М.|Командир отдел. 53 дивизиона в. ОГПУ|Прик.РВСР № 162|1926 г.|Орден Красного Знамени
Фадеев|Иван||Начальник пулемета 141 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Фадеев|Иван||Шоффер 53 АБО|Прик.РВСР № 50|1921 г.|Орден Красного Знамени
Фадеев|Николай|Григорьевич|Помощник начальника полковой школы 95 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фадеев|Николай|Николаевич|Комроты учебно-кадров. полка 11 дивизии|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Фадеев|Петр||Курсант политотдела 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Фадей|Иван|Евстафьевич|Красноармеец 31 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Фадин|Семен||Красноармеец команды конных разведчиков 217 стр. полка|Прик.РВСР № 268|1919 г.|Орден Красного Знамени
Фаисов|Залямитдин||Красноармеец 2 Башкирского кавполка|Прик.РВСР № 34|1922 г.|Орден Красного Знамени
Файзуллин|Искандер|Хасанович|Председатель Самаркандского Областного Исполнительного комитета|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Файзуллин|Хабибулла||Красноармеец 3 кав. Туркестанского полка|Прик.РВСР № 216|1922 г.|Орден Красного Знамени
Файзуллин|Хусаметдин|Шарипович|Комполка 2 Башкирского отдельной Башкирской кавбригады|Прик.РВСР № 19|1922 г.|Орден Красного Знамени
Фалалеев|Александр|Петрович|Помком 1 роты 18 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Фалалеев|Егор||Артиллерист|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Фалин|Михаил|Николаевич|Помкомполка 98 стрелкового|Прик.РВСР № 182|1921 г.|Орден Красного Знамени
Фалинский|Николай|Адамович|Помощник н-ка команды пулем. 390 стр. полка|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Фальков|Тихон|Андреевич|Помощник командира 34 кавполка 6 кавдивизии|Прик.РВСР № 190|1921 г.|Орден Красного Знамени
Фастыковский|Я.|Р.|Начальник Рыльской уездной милиции|Прик.РВСР № 773|1925 г.|Орден Красного Знамени
Фатахитдинов|Хальфетдин||Комвзвод 2 Башкирского кав. полка|Прик.РВСР № 34|1922 г.|Орден Красного Знамени
Фатахудинов|Меслахутдин||Комвзвода 242 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Фаттахитдинов|||Помком 1 эскадрона 27 Башкирского кавполка|Прик.РВСР № 57|1921 г.|Орден Красного Знамени
Фахрездинов|Ф.||Командир взвода 28 кав. полка|Прик.РВСР № 380|1925 г.|Орден Красного Знамени
Фахротдиков|Зариф||Комвзвод 1 Башкирского кавполка|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Фахручев|||Красноармеец 57 кавполка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Февралев|Михаил||Начальник пулем. 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Федоренко|Андрей|Антонович|Комвзвода 209 полка|Прик.РВСР № 420|1920 г.|Орден Красного Знамени
Федоренко|Василий|Ильич|Командир 315 стр. полка|Прик.РВСР № 145|1922 г.|Орден Красного Знамени
Федоренко|Филипп|Алексеевич|Номер при орудии легкого артиллерийского дивизиона ЗВО|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Федоренко|Яков||Командир бронепоезда № 4|Прик.РВСР № 370|1920 г.|Орден Красного Знамени
Федоренко|Яков||Курсант политотдела 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Федоринов|Дмитрий|Львович|Отделком 246 стр. полка 28 стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Федоров|||Помкомвзвода 10 роты 5 Амурского стр. полка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Федоров|А.|П.|Работник ОГПУ|Прик.РВСР № 290|1924 г.|Орден Красного Знамени
Федоров|Александр||Красноармеец 263 стр. полка|Прик.РВСР № 12|1922 г.|Орден Красного Знамени
Федоров|Алексей||Комвзвода 6 черв. каз. полка 8 кав. червоного казачества дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Федоров|Алексей|Осипович|Помкомвзвод, инструктор 3 марш. бат. 1 конного полка|Прик.РВСР № 32|1920 г.|Орден Красного Знамени
Федоров|Алексей|Петрович|Пулеметчик 209 полка|Прик.РВСР № 420|1920 г.|Орден Красного Знамени
Федоров|Алексей|Федорович|Комиссар гаубичного артиллерийского дивизиона XI стр. дивизии|Прик.РВСР № 329|1919 г.|Орден Красного Знамени
Федоров|Василий||Командир машины № 1 — 13 авто-бронеотряда|Прик.РВСР № 217|1921 г.|Орден Красного Знамени
Федоров|Василий|Ефимович|Комвзвод 1 батареи 1 легартдива|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Федоров|Василий|Федорович|Военкомштаба сводной дивизии|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Федоров|Василий|Федорович|Курсант 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Федоров|Владимир|Петрович|Комбат 50 стр. полка|Прик.РВСР № 8|1921 г.|Орден Красного Знамени
Федоров|Георгий|Иванович|Комбатареи 4 — 2 легартдива 11 стр. дивизии|Прик.РВСР № 66|1922 г.|Орден Красного Знамени
Федоров|Ефим||Красноармеец 5 Амурского стр. полка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Федоров|И.|X.|Красноармеец 63 кав. полка|Прик.РВСР № 775|1925 г.|Орден Красного Знамени
Федоров|Иван||Красноармеец 1 батареи 4 легкого артиллерийского дивизиона 2 стр. дивизии|Прик.РВСР № 120|1919 г.|Орден Красного Знамени
Федоров|Иван|Игнатьевич|Начальник отрядов особого назначения Тамбовской губернии. 7-х Борисоглебских кавалерийских командных курсов|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Федоров|Иван|Федорович|Красноармеец 12 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Федоров|М.|И.|Командир взвода 3 арт. дивизиона|Прик.РВСР № 57|1926 г.|Орден Красного Знамени
Федоров|Михаил||Разведчик 92 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Федоров|Михаил|Александрович|Комэскадрона 1 кавполка|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Федоров|Михаил|Алексеевич|Командир 2 бат. 74 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Федоров|Михаил|Федорович|Отделком 89 полка|Прик.РВСР № 490|1920 г.|Орден Красного Знамени
Федоров|Никифор|Федорович|Комиссар 143 стр. полка|Прик.РВСР № 580|1920 г.|Орден Красного Знамени
Федоров|Николай||Помнач. команды 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Федоров|Николай|Сергеевич|Зав. разведкой 67 полка|Прик.РВСР № 89|1923 г.|Орден Красного Знамени
Федоров|Николай|Федорович|Военкомполка 95 стрелкового|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Федоров|Павел||Помначразведки 33 бригады|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Федоров|Павел|Александрович|Начальник команды связи 75 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Федоров|Петр|Емельянович|Комроты 238 стр. полка 27 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Федоров|Федор|Иванович|Комвзвод пулькоманды 236 стр. полка|Прик.РВСР № 212|1920 г.|Орден Красного Знамени
Федорович|Семен||Красноармеец 188 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Федоровский|Георгий|Платонович|Начальник пулкоманды 83 стр. полка|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Федоровцев|Александр||Курсант полка особого назначения|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Федорушкин|Михаил|Ильич|Стрелок 504 полка|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Федорцов|Дмитрий||Красноармеец 23 стр. полка|Прик.РВСР № 57|1921 г.|Орден Красного Знамени
Федорченко|Алексей||Красноармеец 53 кавполка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Федорченко|Степан|Яковлевич|Красноармеец 24 кавполка 4 кавдивизии|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Федосеев|Иван|Алексеевич|Наводчик 1 легкого артиллерийского дивизиона 34 стр. дивизии|Прик.РВСР № 264|1919 г.|Орден Красного Знамени
Федосеенко|Илья|Кириллович|Комвзвода сапроты 50 стр. бригады|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Федосеенко|Павел|Федорович|Начальник 9 воздухоплавательного отряда|Прик.РВСР № 80|1923 г.|Орден Красного Знамени
Федосов|Даниил|Михайлович|Красноармеец 94 кавполка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Федосюк|Григорий|Кондратьевич|Комроты 3 — 214 стр. полка|Прик.РВСР № 34|1922 г.|Орден Красного Знамени
Федотов|Георгий||Командир машины 13 авто-бронеотряда|Прик.РВСР № 217|1921 г.|Орден Красного Знамени
Федотов|Дмитрий||Пулеметчик 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Федотов|Иван|Михайлович|Комроты 502 стр. полка|Прик.РВСР № 598|1920 г.|Орден Красного Знамени
Федотов|Илья||Красноармеец Заволжского стр. полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Федотов|Константин|Яковлевич|Глав. Уп. Рабоче-Крестьянской Милиции УССР|Прик.РВСР № 235|1922 г.|Орден Красного Знамени
Федотов|Леонид|Федорович|Комбат 2 Кронштадтского отдельного стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Федотов|Павел|Степанович|Красноармеец 1 Туркестанского кавполка|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Федотов|Семен|Максимович|Разведчик-артиллерист|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Федотов|Сергей||Пулеметчик 183 стр. полка|Прик.РВСР № 256|1920 г.|Орден Красного Знамени
Федотов|Степан|Ефимович|Комвзвод 97 полка|Прик.РВСР № 338|1920 г.|Орден Красного Знамени
Федотовских|Семен|Андреевич|Комвзвода 462 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Федукк|Степан|Викентьевич|Комроты 6 полка|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Федчентко|Петр||Помкомвзвода 141 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Федько|Иван|Федорович|Начальник 58 стр. дивизии|Прик.РВСР № 290|1919 г.|Орден Красного Знамени
Федько|Иван|Федорович|Начальник 46 стр. дивизии|Прик.РВСР № 190|1921 г.|Вторичное награждение
Федько|Иван|Федорович|Комбриг 187|Прик.РВСР № 140|1921 г.|Третье награждение
Федько|Иван|Федорович|Комкор XIII|Прик.РВСР № 177|1924 г.|Четвертое награждение
Федюк|Петр|Алексеевич|Красноармеец 104 полка|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Федюченко|Тимофей|Григорьевич|Красноармеец 406 полка|Прик.РВСР № 422|1920 г.|Орден Красного Знамени
Федюшин|Иван|Петрович|Красноармеец сводного артиллерийского дивизиона Заволжской стр. бригады|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Федяев|||Комвзвод 57 кавполка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Федяшкин|Василий|Федорович|Помощник командира пульборта бронепоезда № 72 имени т. Руднева|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Фейгин|Семен|Львович|Военком штаба Заволжской стр. бригады|Прик.РВСР № 111|1922 г.|Орден Красного Знамени
Фейерверкеров|Иван|Филимонович|Помкомбатареи 48 легартдива|Прик.РВСР № 145|1922 г.|Орден Красного Знамени
Фельдман|Борис|Миронович|Комкор 17 Приморского|Прик.РВСР № 8|1924 г.|Орден Красного Знамени
Фельдман|Михаил|Михайлович|Комроты 3 полка|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Фельдман|Ян|Мартынович|Конный разведчик полка ОН 15 армии|Прик.РВСР № 229|1920 г.|Орден Красного Знамени
Фелянин|Ефим||Номерной 1 легартдивизиона 7 стр. дивизии|Прик.РВСР № 4|1921 г.|Орден Красного Знамени
Фенк|Яков|Арсеньевич|Отделком 88 кавполка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Феодоровых|Иван|Ильич|Взводный командир 38 стр. полка|Прик.РВСР № 153|1920 г.|Орден Красного Знамени
Феоктистов|Иван|Павлович|Красноармеец 82 стр. полка|Прик.РВСР № 160|1920 г.|Орден Красного Знамени
Феоктистов|Иван|Федорович|Курсант 2 сводного полка курсантов|Прик.РВСР № 51|1923 г.|Орден Красного Знамени
Феофилактов|Василий|Иванович|Отделком 87 стр. полка|Прик.РВСР № 77|1920 г.|Орден Красного Знамени
Феофилов|Степан|Павлович|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фертих|Георгий|Яковлевич|Комбат 504 стр. полка|Прик.РВСР № 159|1922 г.|Орден Красного Знамени
Фесенко|Дмитрий|Семенович|Командир 2 бригады 2 Донской стр. дивизии|Прик.РВСР № 531|1920 г.|Орден Красного Знамени
Фесенко|Павел|Григорьевич|Комбриг 3 — 2 стр. дивизии|Прик.РВСР № 256|1921 г.|Орден Красного Знамени
Фесенко|Тихон|Федорович|Красноармеец 66 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Фесик|Александр|Григорьевич|Красноармеец 456 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Фетисов|Афанасий|Федорович|Красноармеец|Прик.РВСР № 490|1920 г.|Орден Красного Знамени
Фетисов|Ефим|Иванович|Комбат 184 стр. полка|Прик.РВСР № 8|1921 г.|Орден Красного Знамени
Фетисов|Иван||Курсант 7 Борисоглебских кавалерийских курсов|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Фетисов|Трофим|Алексеевич|Комэскадрона 2 — 2 Башкирского кавполка|Прик.РВСР № 34|1922 г.|Орден Красного Знамени
Фефилов|Иван||Н-к пулемета 2 роты 160 стр. полка|Прик.РВСР № 156|1919 г.|Орден Красного Знамени
Фигурин|Павел||Помкомбат 1 гаубичного артиллерийского дивизиона|Прик.РВСР № 68|1920 г.|Орден Красного Знамени
Фигурин|Тимофей|Тимофеевич|Комвзвода 456 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Филаткин|С.|Т.|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Филатов|Григорий||Наводчик 1 гаубичного дивизиона|Прик.РВСР № 68|1920 г.|Орден Красного Знамени
Филатов|Иван|Николаевич|Шофер 35 АБО|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Филатов|Иван|Тимофеевич|Комвзвода 275 стр. полка|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Филатов|Петр|Михайлович|Командир 147 стр. полка|Прик.РВСР № 594|1920 г.|Орден Красного Знамени
Филатов|Петр|Михайлович|Комбриг 51|Прик.РВСР № 178|1921 г.|Вторичное награждение
Филимонов|Александр||Курсант политотдела 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Филимонов|Василий||Комроты 219 стр. полка|Прик.РВСР № 288|1919 г.|Орден Красного Знамени
Филимонов|Петр||Телефонист 321 стр. полка|Прик.РВСР № 76|1920 г.|Орден Красного Знамени
Филимонов|Сергей||Политрук 270 стр. полка|Прик.РВСР № 12|1922 г.|Орден Красного Знамени
Филин|Василий|Васильевич|Отделком сапроты 31 стр. дивизии|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Филиппов|||Комбатареи Алтайского отряда|Прик.РВСР № 145|1922 г.|Орден Красного Знамени
Филиппов|||Комкавполка 6 Заамурского|Прик.РВСР № 12|1919 г.|Орден Красного Знамени
Филиппов|||Красноармеец десантного отряда|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Филиппов|||Политработник 3 сводного полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Филиппов|Александр||Командир 188 стр. полка|Прик.РВСР № 77|1920 г.|Орден Красного Знамени
Филиппов|Александр|Андреевич|Комвзвод 235 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Филиппов|Александр|Сергеевич|Номер при орудии легкого артиллерийского дивизиона ЗВО|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Филиппов|Алексей||Красноармеец 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Филиппов|Алексей||Разведчик 2 легартдивизиона 2 Приамурской стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Филиппов|Василий||Отделком сапроты 31 бригады|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Филиппов|Георгий|Александрович|Комроты 8 — 96 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Филиппов|Григорий|Лукьянович|Комвзвод 238 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Филиппов|Иван||Комвзвод 136 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Филиппов|Иван|Николаевич|Комиссар 504 стр. полка|Прик.РВСР № 598|1920 г.|Орден Красного Знамени
Филиппов|Иван|Николаевич|Комроты 454 полка|Прик.РВСР № 379|1920 г.|Орден Красного Знамени
Филиппов|Иван|Филиппович|Комвзвод кавполка 4 стр. дивизии|Прик.РВСР № 145|1922 г.|Орден Красного Знамени
Филиппов|Константин|Васильевич|Кон. ординарец штаба 219 стр. полка|Прик.РВСР № 126|1920 г.|Орден Красного Знамени
Филиппов|Никита|Сидорович|Разведчик 150 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Филиппов|Павел||Комбат 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Филиппов|Петр|Васильевич|Телефонист 3 легкого артиллерийского дивизиона|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Филиппов|Петр|Семенович|Телефонист батальона связи Штазапа|Прик.РВСР № 267|1921 г.|Орден Красного Знамени
Филиппов|Степан|Васильевич|Комроты 501 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Филиппов|Яков||Красноармеец 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Филипченко|Ефим|Иванович|Отделком 89 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Филипченко|Федор|Евстафьевич|Красноармеец 2 взвода кон. связи штаба 20 кавполка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Филипчик|Владимир|Степанович|Командир 301 стр. полка|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Филичев|Иван|Иванович|Командир бат. 267 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Филичев|Федор||Красноармеец 96 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Филичкин|Ивлий||Красноармеец 22 стр. полка|Прик.РВСР № 349|1919 г.|Орден Красного Знамени
Филончик|Устин|Корнеевич|Комотряда партизанского по борьбе с бандитизмом|Прик.РВСР № 145|1922 г.|Орден Красного Знамени
Фильтенштейн|||Политрук 151 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Фильчаков|Трофим||Красноармеец 217 стр. полка 25 стр. дивизии|Прик.РВСР № 194|1919 г.|Орден Красного Знамени
Финочкин|Даниил|Прохорович|Красноармеец 267 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Фирин-Пупко|С.|Г.|Военнослужащий|Прик.РВСР № 475|1925 г.|Орден Красного Знамени
Фирковская|Елена|Ивановна|Сестра милосердия 4 кавдивизии|Прик.РВСР № 42|1923 г.|Орден Красного Знамени
Фирсман|Франц||Пулеметчик 4 авто-бронеотряда|Прик.РВСР № 36|1919 г.|Орден Красного Знамени
Фирсов|Дмитрий|Сергеевич|Военком полка 536 стрелкового|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Фирсов|Иван|Федорович|Красноармеец 75 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Фирсов|Николай|Фирсович|Комбат 504 стр. полка|Прик.РВСР № 159|1922 г.|Орден Красного Знамени
Фирулин|Кузьма|Григорьевич|Вр. комвзвода 2 роты 93 стр. полка|Прик.РВСР № 182|1921 г.|Орден Красного Знамени
Фисенко|Степан|Григорьевич|Курсант|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фисенко|Федор||Красноармеец красногусарского Заволжского полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Фиткович|Павел|Михайлович|Сотрудник ОО 9 армии|Прик.РВСР № 143|1922 г.|Орден Красного Знамени
Флегонтов|Виктор||Телеграфист штаба 1 бригады 25 стр. дивизии|Прик.РВСР № 208|1920 г.|Орден Красного Знамени
Флерова|Мирра||Уполномоченный Сан. части|Прик.РВСР № 93|1921 г.|Орден Красного Знамени
Флоров|Виктор|Александрович|Комвзвод 93 стр. полка|Прик.РВСР № 154|1920 г.|Орден Красного Знамени
Фогель|Валентин|Иванович|Адъютант пулькоманды 95 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фогт|Михаил|Александрович|Комполка кав. 1 — 27 стр. дивизии|Прик.РВСР № 69|1923 г.|Орден Красного Знамени
Фодченко|Иван|Лукьянович|Отделком 151 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Фокин|Ефим||Комвзвода 93 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Фокин|Михаил|Тимофеевич|Вр.и.д. комполка 439|Прик.РВСР № 126|1920 г.|Орден Красного Знамени
Фокин|Степан|Матвеевич|Красноармеец 238 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фокин|Степан|Петрович|Комроты 240 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Фокин|Степан|Петрович|Комроты 240 стр. полка|Прик.РВСР № 353|1921 г.|Вторичное награждение
Фокин|Федор|Павлович|Курсант 7 стр. дившколы|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Фокин|Федор|Степанович|Комроты 70 полка|Прик.РВСР № 378|1920 г.|Орден Красного Знамени
Фокин-Уральский|Николай|Тимофеевич|Комполка 439 стрелкового|Прик.РВСР № 126|1920 г.|Орден Красного Знамени
Фокин-Уральский|Николай|Тимофеевич|Комбриг 3 — 49 стр. дивизии|Прик.РВСР № 2|1923 г.|Вторичное награждение
Фокусов|Я.|И.|Красноармеец 235 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фоликов|Федор|Федорович|Красноармеец 301 стр. полка|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Фоменко|||Красноармеец 57 кавполка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Фоменко|Андрей||Красноармеец заград. отряда 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Фоменко|Василий||Красноармеец 141 стр. полка|Прик.РВСР № 182|1921 г.|Орден Красного Знамени
Фоменко|Евтифий|Кондратьевич|Комвзвода 199 полка|Прик.РВСР № 478|1920 г.|Орден Красного Знамени
Фоменко|Иван|Бонифардович|Наводчик пулемета 1 кавбригады Котовского|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Фоменко|Н.|Н.|Красноармеец 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Фомин|Александр||Артиллерист 2 танкового АБО|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Фомин|Андрей||Комотделения заград. Отрядя 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Фомин|Василий|Фомич|Комроты 165 стр. полка|Прик.РВСР № 126|1920 г.|Орден Красного Знамени
Фомин|Иван||Пулеметчик 183 стр. полка|Прик.РВСР № 256|1920 г.|Орден Красного Знамени
Фомин|Иван|Васильевич|Комбат 257 полка|Прик.РВСР № 490|1920 г.|Орден Красного Знамени
Фомин|Иван|Васильевич|Командир 42 стр. полка|Прик.РВСР № 4|1921 г.|Орден Красного Знамени
Фомин|Иван|Васильевич|Командир 42 стр. полка|Прик.РВСР № 353|1921 г.|Вторичное награждение
Фомин|Иван|Иванович|Вр.и.д. комвзвода 306 стр. полка|Прик.РВСР № 502|1920 г.|Орден Красного Знамени
Фомин|Михаил|Давыдович|Помкомвзвод 232 стр. полка|Прик.РВСР № 75|1922 г.|Орден Красного Знамени
