Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Алексеев|Михаил||Красноармеец батальона особого назначения 18 милицион. бригады.|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Алексеев|Никифор||Нач. пул. команды I бат. I легартдива 60 стр. див.|Прик.РВСР № 229|1920 г.|Орден Красного Знамени
Алексеев|Николай||Красноармеец подр. команды 121 отд. сап. роты 41 стр. дивизии.|Прик.РВСР № 208|1920 г.|Орден Красного Знамени
Алексеев|Николай|Митрофанович|Начпульком 96 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Алексеев|Петр|Александрович|Красноармеец 457 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Алексеев|Петр||Подрывник I минно-подрыв див.|Прик.РВСР № 103|1920 г.|Орден Красного Знамени
Алексеев|Петр|Гаврилович|К-р отряда 14 авиоотряда.|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Алексеев|Петр|Карлович|Рыбак сл. Никольской Киевской губ.|Прик.РВСР № 206|1920 г.|Орден Красного Знамени
Алексеев|Поликарп|Алексеевич|Нач. пулемета 35 стр. полка|Прик.РВСР № 229|1920 г.|Орден Красного Знамени
Алексеев|Семен||Руж. инструктор 436 стр. полка|Прик.РВСР № 259|1920 г.|Орден Красного Знамени
Алексеев|Сергей|Дмитриевич|Красноармеец 56 Московской стр. дивизии.|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Алексеев|Степан||Отд. ком. 258 Волынск. стр. полка|Прик.РВСР № 56|1919 г.|Орден Красного Знамени
Алексеев|Степан|Алексеевич|Старшина 3 роты 88 стр. полка 10 стр. дивизии.|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Алексеев|Федор|Матвеевич|Вр. комроты Киевской отд. бригады|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Алексеенко|Семен|Иванович|Комвзвода 2 стр. полка ВЧК |Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Аленичев|Алексей||Комбат 16 Богучарской бригады|Прик.РВСР № 148|1922 г.|Орден Красного Знамени
Аленкин|Александр|Андреевич|Комбригады 81 — 15 армии|Прик.РВСР № 23|1922 г.|Орден Красного Знамени
Аленкин|Александр|Андреевич|Нашта 81 бригады— 27 стр. дивизии.|Прик.РВСР № 157|1923 г.|Орден Красного Знамени
Аленкин|Яков|Иванович|Красноармеец 1 отряда 00 ГПУ Особой кав. бригады|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Алефанов|Федор|Титович|Пулеметчик бронепоезда № 89|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Алехин|Евгений|Степанович|Комбат 3 — 93 стр. полка|Прик.РВСР № 32|1920 г.|Орден Красного Знамени
Алехин|Евгений|Степанович|Комполка 93 стрелков.|Прик.РВСР № 57|1921 г.|Орден Красного Знамени
Алехин|Евгений|Степанович|Вр. комполка 93|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Алешин|Афанасий|Гаврилович|Красноармеец АБО им. Свердлова|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Алешин|Степан|Степанович|Военкомбриг 187 отд. стр.|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Алешкин|Яков|Иванович|Красноармеец 172 стр. полка|Прик.РВСР № 157|1923 г.|Орден Красного Знамени
Али-Алтаев|||Красный партизан Даге-стана|Прик.РВСР № 76|1923 г.|Орден Красного Знамени
Али-Гаджиев|||Красный партизан Даге-стана|Прик.РВСР № 76|1923 г.|Орден Красного Знамени
Алимов|||Калужских пех. курсов курсант|Прик.РВСР № 227|1920 г.|Орден Красного Знамени
Алиференко|Кирилл|Иванович|Комвзвода 3 св. полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Алиходжаев|Абдул|Юсуп|Работник милиции Туркестана|Прик.РВСР № 350|1924 г.|Орден Красного Знамени
Али-Ходжаев|Шамансура|||Прик.РВСР № 2430|1923 г.|Орден Красного Знамени
Алпатов|Донат|Варфоломеевич|Пом. н-ка ком. пеших разведчиков 96 стр. полка|Прик.РВСР № 293|1920 г.|Орден Красного Знамени
Алтонбаев|Владимир|Антонович|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Алтуфьев|Павел|Константинович|Помкомроты 4 — 63 отд. батальона войск ГПУ|Прик.РВСР № 77|1923 г.|Орден Красного Знамени
Алутин|Владимир|Андреевич|Комроты 95 полка.|Прик.РВСР № 353|1923 г.|Орден Красного Знамени
Алутин|Владимир|Андреевич|Комроты 4 — 95 стр. полка.|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Алферов|Василий|Васильевич|Красноармеец 3 кавполка Особой кавбригады.|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Алферук|Андрей|Лукьянович|Красноармеец 6 кавполка 2 Отд. кавбригады.|Прик.РВСР № 185|1923 г.|Орден Красного Знамени
Алыпов|Василий|Степанович|Комвзода 9 роты — 82стр. полка.|Прик.РВСР № 167|1919 г.|Орден Красного Знамени
Альбертов|Иван||Красноармеец б. 15 армии|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Альбов|Лев|Иванович|Шоффер 35 АБО |Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Альков|Алексей||Курсант полка особ. наз.|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Альман|Геральд||Слуш. Воен.-Морск. учил.|Прик.РВСР № 121|1924 г.|Орден Красного Знамени
Альхимович|Казимир|Адамович|Начальник пулемет. 150 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Альянов|Трофим|Осипович|Старш. 314 стр. полка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Алянкин|Иван|Якимович|Красноармеец 82 стр. полка|Прик.РВСР № 160|1920 г.|Орден Красного Знамени
Амарантов|Александр||Адъютант 517 полка|Прик.РВСР № 380|1925 г.|Орден Красного Знамени
Амахин|Ф.|М.|Красноармеец 95 стрелкового полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
